date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-01-11,sz.300580,12.4900,13.8100,12.4900,13.8100,9.5900,9181,126647.0000,3,0.018362,1,44.004170,23.993894,5.105146,-2704.562450,4.167334,0
2017-01-12,sz.300580,15.1900,15.1900,15.1900,15.1900,13.8100,4081,61990.0000,3,0.008162,1,9.992752,26.391546,5.615291,-2974.822854,4.583766,0
2017-01-13,sz.300580,16.7100,16.7100,16.7100,16.7100,15.1900,7100,118641.0000,3,0.014200,1,10.006580,29.032438,6.177189,-3272.500980,5.042444,0
2017-01-16,sz.300580,18.3800,18.3800,18.3800,18.3800,16.7100,36762,675685.0000,3,0.073524,1,9.994017,31.933945,6.794539,-3599.555238,5.546387,0
2017-01-17,sz.300580,20.2200,20.2200,20.2200,20.2200,18.3800,36675,741568.0000,3,0.073350,1,10.010880,35.130814,7.474732,-3959.902443,6.101629,0
2017-01-18,sz.300580,22.2400,22.2400,22.2400,22.2400,20.2200,44800,996352.0000,3,0.089600,1,9.990111,38.640420,8.221466,-4355.501006,6.711189,0
2017-01-19,sz.300580,24.4600,24.4600,24.4600,24.4600,22.2400,84000,2054640.0000,3,0.168000,1,9.982012,42.497513,9.042134,-4790.267743,7.381101,0
2017-01-20,sz.300580,25.1100,26.9100,24.0200,26.9100,24.4600,20612748,526955296.0000,3,41.225496,1,10.016360,46.754214,9.947826,-5270.077880,8.120418,0
2017-01-23,sz.300580,27.8000,28.4800,26.1100,26.9700,26.9100,26081183,710404240.0000,3,52.162366,1,0.222964,46.858459,9.970006,-5281.828333,8.138523,0
2017-01-24,sz.300580,26.5800,26.6000,24.3000,24.3300,26.9700,19602917,495423328.0000,3,39.205834,1,-9.788651,42.271647,8.994077,-4764.808429,7.341872,0
2017-01-25,sz.300580,23.6000,25.0800,23.4000,24.8300,24.3300,14061323,344525600.0000,3,28.122646,1,2.055076,43.140361,9.178912,-4862.728866,7.492753,0
2017-01-26,sz.300580,24.9200,25.5000,24.7000,25.2400,24.8300,10159191,255173126.0000,3,20.318382,1,1.651228,43.852707,9.330476,-4943.023623,7.616475,0
2017-02-03,sz.300580,25.1000,25.2000,24.5200,24.6600,25.2400,7364748,182749639.0000,3,14.729496,1,-2.297940,42.844998,9.116068,-4829.435917,7.441453,0
2017-02-06,sz.300580,25.1500,27.1300,25.1500,27.1300,24.6600,17221103,453690496.0000,3,34.442206,1,10.016220,47.136448,10.029153,-5313.162872,8.186805,0
2017-02-07,sz.300580,27.0000,27.8400,26.4500,27.8400,27.1300,18033624,488375088.0000,3,36.067248,1,2.617033,48.370023,10.291619,-5452.209892,8.401056,0
2017-02-08,sz.300580,27.3900,30.5800,27.3000,29.2500,27.8400,20490427,598822048.0000,3,40.980854,1,5.064655,50.819797,10.812854,-5728.345522,8.826541,0
2017-02-09,sz.300580,28.8200,29.6400,28.4400,28.9200,29.2500,14257760,412768416.0000,3,28.515520,1,-1.128205,50.246446,10.690863,-5663.718034,8.726960,0
2017-02-10,sz.300580,28.9500,29.5000,27.9500,27.9500,28.9200,11645722,333253792.0000,3,23.291444,1,-3.354078,48.561140,10.332283,-5473.752388,8.434250,0
2017-02-13,sz.300580,27.8000,29.9800,27.4000,29.1700,27.9500,13361126,385173696.0000,3,26.722252,1,4.364935,50.680803,10.783280,-5712.678252,8.802400,0
2017-02-14,sz.300580,29.0000,30.1900,28.8000,29.6200,29.1700,13139404,387568976.0000,3,26.278808,1,1.542683,51.462646,10.949632,-5800.806645,8.938193,0
2017-02-15,sz.300580,29.4200,32.2800,29.1900,30.3600,29.6200,17496245,543529760.0000,3,34.992490,1,2.498311,52.748344,11.223188,-5945.728891,9.161497,0
2017-02-16,sz.300580,29.6100,30.1800,28.8800,29.7000,30.3600,11141318,328526320.0000,3,22.282636,1,-2.173913,51.601640,10.979206,-5816.473915,8.962334,0
2017-02-17,sz.300580,29.9300,30.9800,28.7000,28.9100,29.7000,10015769,298349696.0000,3,20.031538,1,-2.659936,49.335902,10.561101,-5661.759626,8.723942,0
2017-02-20,sz.300580,28.2000,28.5000,26.9200,27.7600,28.9100,8587270,237675191.0000,3,17.174540,1,-3.977861,47.373388,10.140995,-5436.542622,8.376916,0
2017-02-21,sz.300580,27.6000,28.6400,27.5700,28.3700,27.7600,7022110,198437475.0000,3,14.044220,1,2.197408,48.414374,10.363834,-5556.005554,8.560990,0
2017-02-22,sz.300580,28.3700,28.7900,27.8600,28.2000,28.3700,5914129,167145222.0000,3,11.828258,1,-0.599225,48.124263,10.301731,-5522.712606,8.509691,0
2017-02-23,sz.300580,28.0600,29.5500,28.0600,29.5300,28.2000,9333372,269753040.0000,3,18.666744,1,4.716312,50.393953,10.787593,-5783.180967,8.911034,0
2017-02-24,sz.300580,29.5300,30.5000,29.3800,29.8100,29.5300,10537926,315742912.0000,3,21.075852,1,0.948184,50.871783,10.889880,-5838.016411,8.995528,0
2017-02-27,sz.300580,29.4100,30.9900,29.4000,30.3900,29.8100,9705402,292875136.0000,3,19.410804,1,1.945656,51.861573,11.101759,-5951.604117,9.170550,0
2017-02-28,sz.300580,30.2700,31.1400,29.7300,31.0500,30.3900,10121376,308109440.0000,3,20.242752,1,2.171767,52.987885,11.342864,-6080.859093,9.369713,0
2017-03-01,sz.300580,30.9000,31.2600,29.8300,29.9000,31.0500,9976679,303790944.0000,3,19.953358,1,-3.703703,51.025371,10.922757,-5855.642089,9.022686,0
2017-03-02,sz.300580,29.7500,31.1800,29.6000,30.8300,29.9000,10151189,310212464.0000,3,20.302378,1,3.110369,52.612448,11.262495,-6037.774101,9.303325,0
2017-03-03,sz.300580,30.5000,31.2500,29.9000,30.8200,30.8300,8189824,250434157.0000,3,16.379648,1,-0.032437,52.595382,11.258842,-6035.815692,9.300307,0
2017-03-06,sz.300580,31.0000,32.2600,30.6000,32.0300,30.8200,12338402,389623888.0000,3,24.676804,1,3.926019,54.660289,11.700867,-6272.783148,9.665440,0
2017-03-07,sz.300580,32.2700,35.2300,32.2500,32.9300,32.0300,20184108,678099568.0000,3,40.368216,1,2.809871,56.196170,12.029646,-6449.039933,9.937025,0
2017-03-08,sz.300580,32.6000,34.7000,32.3200,34.6400,32.9300,17071022,572281632.0000,3,34.142044,1,5.192831,59.114343,12.654325,-6783.927825,10.453039,0
2017-03-09,sz.300580,34.0000,34.2000,32.9000,33.1100,34.6400,11643362,389325856.0000,3,23.286724,1,-4.416856,56.503346,12.095401,-6484.291290,9.991343,0
2017-03-10,sz.300580,33.2800,33.2900,32.2800,32.3200,33.1100,7854010,256729434.0000,3,15.708020,1,-2.385989,55.155184,11.806807,-6329.577001,9.752951,0
2017-03-13,sz.300580,32.3700,33.9400,31.5000,33.8500,32.3200,10265264,337116768.0000,3,20.530528,1,4.733907,57.766181,12.365730,-6629.213536,10.214647,0
2017-03-14,sz.300580,33.6200,33.9800,33.2000,33.2500,33.8500,9335742,313504224.0000,3,18.671484,1,-1.772521,56.742260,12.146545,-6511.709012,10.033589,0
2017-03-15,sz.300580,33.0500,33.5900,32.5000,32.9500,33.2500,6216336,205485072.0000,3,12.432672,1,-0.902253,56.230300,12.036952,-6452.956751,9.943061,0
2017-03-16,sz.300580,33.3300,34.4600,33.2500,33.8800,32.9500,10670624,362096736.0000,3,21.341248,1,2.822459,57.817377,12.376690,-6635.088762,10.223699,0
2017-03-17,sz.300580,33.9900,34.6200,32.0000,32.1800,33.8800,12779217,427278912.0000,3,25.558434,1,-5.017712,54.916269,11.755663,-6302.159279,9.710704,0
2017-03-20,sz.300580,31.7000,32.9400,31.6500,32.9000,32.1800,6045342,196518266.0000,3,12.090684,1,2.237418,56.144973,12.018686,-6443.164707,9.927973,0
2017-03-21,sz.300580,32.7500,33.9700,32.7100,33.9100,32.9000,8372487,280731776.0000,3,16.744974,1,3.069904,57.868573,12.387649,-6640.963988,10.232752,0
2017-03-22,sz.300580,33.5900,34.5600,33.0800,34.3300,33.9100,10275198,348115568.0000,3,20.550396,1,1.238579,58.585317,12.541079,-6723.217155,10.359492,0
2017-03-23,sz.300580,34.6300,34.6300,32.5000,33.5100,34.3300,9590356,321950512.0000,3,19.180712,1,-2.388592,57.185959,12.241525,-6562.627639,10.112048,0
2017-03-24,sz.300580,33.1900,34.5000,33.1300,34.0500,33.5100,7928757,268773200.0000,3,15.857514,1,1.611462,58.107488,12.438792,-6668.381710,10.274999,0
2017-03-27,sz.300580,34.4300,35.4000,33.8000,34.8900,34.0500,11177002,387725536.0000,3,22.354004,1,2.466961,59.540976,12.745652,-6832.888043,10.528479,0
2017-03-28,sz.300580,34.6000,34.8700,33.5000,33.5800,34.8900,7720340,262844459.0000,3,15.440680,1,-3.754650,57.305417,12.267097,-6576.336500,10.133171,0
2017-03-29,sz.300580,33.5000,33.7000,31.1300,31.2000,33.5800,8517777,273965840.0000,3,17.035554,1,-7.087555,53.243865,11.397660,-6110.235224,9.414977,0
2017-03-30,sz.300580,30.6000,30.7900,29.1400,29.7500,31.2000,6812667,204447011.0000,3,13.625334,1,-4.647438,50.769391,10.867961,-5826.265958,8.977422,0
2017-03-31,sz.300580,29.7700,30.3800,29.4000,29.7200,29.7500,3865002,115713730.0000,3,7.730004,1,-0.100843,50.718195,10.857002,-5820.390732,8.968369,0
2017-04-05,sz.300580,29.5400,30.3600,28.6800,30.1800,29.7200,3998140,119101866.0000,3,7.996280,1,1.547783,51.503201,11.025044,-5910.477534,9.107180,0
2017-04-06,sz.300580,30.0500,30.8800,29.9300,30.1200,30.1800,4085078,124147992.0000,3,8.170156,1,-0.198805,51.400809,11.003126,-5898.727081,9.089074,0
2017-04-07,sz.300580,30.0300,30.1800,28.9000,29.0100,30.1200,4520252,133376042.0000,3,9.040504,1,-3.685261,49.506556,10.597632,-5681.343713,8.754118,0
2017-04-10,sz.300580,28.8100,28.8100,26.3300,26.5200,29.0100,5701350,156399163.0000,3,11.402700,1,-8.583246,45.257286,9.688011,-5193.699940,8.002731,0
2017-04-11,sz.300580,26.5200,27.4900,26.3500,27.3100,26.5200,3975536,107157254.0000,3,7.951072,1,2.978880,46.605448,9.976606,-5348.414229,8.241123,0
2017-04-12,sz.300580,27.1600,27.2000,26.5200,26.5400,27.3100,2697983,72359539.0000,3,5.395966,1,-2.819475,45.291416,9.695317,-5197.616758,8.008766,0
2017-04-13,sz.300580,26.6000,27.1700,26.3600,26.6800,26.5400,2061260,55377849.0000,3,4.122520,1,0.527503,45.530331,9.746461,-5225.034480,8.051012,0
